"timestamp","company","category","open","high","low","close","volume","previous","change.percent","result","vix.open","vix.high","vix.low","vix.close","vix.previous","vix.change.percent","vix.result","confirmed.total","confirmed.previous","confirmed.change.percent","confirmed.result","deaths.total","deaths.previous","deaths.change.percent","deaths.result"
2020-04-23,"mcdonald","hospitality",186.16,187.33,181.32,182.04,5047598,186.48,0.0501182565604233,"down",41.3,42.47,39.06,41.38,41.98,0.924465976657124,"down",2719097,2629660,0.0301149764786118,"up",194706,187837,0.0373149988955158,"up"
2020-04-24,"mcdonald","hospitality",183.26,184.35,180.86,184.02,3319554,182.04,-0.0238095238095238,"up",38.8,40.17,35.6,35.93,41.38,0.985707479752263,"down",2806113,2719097,0.0340108607196368,"up",201387,194706,0.0365689400916752,"up"
2020-04-27,"mcdonald","hospitality",185.15,188.365,184.77,185.89,4046983,184.02,0.0108767303889256,"up",36.29,36.44,32.51,33.29,35.93,0.86829386176897,"down",3032503,2806113,0.032001800597772,"up",215478,201387,0.0343132723182645,"up"
2020-04-28,"mcdonald","hospitality",190,190,185.57,185.93,3803300,185.89,0.0101619389196825,"up",33.21,35.39,30.54,33.57,33.29,0.926523796270526,"up",3107085,3032503,0.0806774352992912,"up",221931,215478,0.069969759716367,"up"
2020-04-29,"mcdonald","hospitality",188.53,190.41,186.88,187.82,3454738,185.93,0.000215181021034055,"up",32.48,33.19,30.71,31.23,33.57,1.00841093421448,"down",3183962,3107085,0.0245942048532186,"up",228695,221931,0.0299473728176426,"up"
2020-04-30,"mcdonald","hospitality",182,188.31,180.76,187.56,7122796,187.82,0.0101651159038347,"down",30.99,35.94,30.93,34.15,31.23,0.93029490616622,"up",3267740,3183962,0.0247424837106162,"up",234652,228695,0.0304779413421289,"up"
2020-05-01,"mcdonald","hospitality",184,185.54,182.15,182.66,3764076,187.56,-0.00138430412096683,"down",38.17,39.57,36.59,37.19,34.15,1.09349983989753,"up",3354731,3267740,0.0263124999607407,"up",239824,234652,0.026047792911957,"up"
2020-05-04,"mcdonald","hospitality",181.31,182.46,178.87,181.87,4025810,182.66,-0.026124973341864,"down",39.13,40.32,35.53,35.97,37.19,1.08901903367496,"down",3589133,3354731,0.0266211510095662,"up",252739,239824,0.0220411502991664,"up"
2020-05-05,"mcdonald","hospitality",183.53,183.86,179.11,179.24,3827140,181.87,-0.00432497536406434,"down",34.82,36.22,31.95,33.61,35.97,0.967195482656628,"down",3669172,3589133,0.0698720702196391,"up",258618,252739,0.0538519914604043,"up"
2020-05-06,"mcdonald","hospitality",180.6,181.12,176.86,176.97,3914973,179.24,-0.0144608786495848,"down",32.69,35.69,31.68,34.12,33.61,0.934389769252155,"up",3759093,3669172,0.0223003717053673,"up",265272,258618,0.0232611508314902,"up"
2020-05-07,"mcdonald","hospitality",179.5,181.56,178.3,181.12,3039575,176.97,-0.0126645837982594,"up",32.12,32.28,30.37,31.44,34.12,1.01517405534067,"down",3848305,3759093,0.0245071640141154,"up",270689,265272,0.0257290675823029,"up"
2020-05-08,"mcdonald","hospitality",183.2,183.43,179.9102,181.23,3411572,181.12,0.0234503023111262,"up",30.14,30.39,27.89,27.98,31.44,0.921453692848769,"down",3939833,3848305,0.0237323205358314,"up",276252,270689,0.0204205494737477,"up"
2020-05-11,"mcdonald","hospitality",179.37,182.88,178.52,180.88,2628966,181.23,0.00060733215547695,"down",28.46,31.46,26.97,27.57,27.98,0.889949109414758,"down",4176006,3939833,0.0237839776213164,"up",287547,276252,0.0205512599329858,"up"
2020-05-12,"mcdonald","hospitality",181.97,182.592,176.44,176.54,3604900,180.88,-0.00193124758594049,"down",28.47,33.04,26,33.04,27.57,0.985346676197284,"up",4259403,4176006,0.0599449265996807,"up",293090,287547,0.0408865818166022,"up"
2020-05-13,"mcdonald","hospitality",176.18,176.565,171.01,172.82,4726658,176.54,-0.0239938080495356,"down",32.74,37.42,30.77,35.28,33.04,1.19840406238665,"up",4344421,4259403,0.0199705172837395,"up",298321,293090,0.0192768486543069,"up"
2020-05-14,"mcdonald","hospitality",170.2,175.66,167.85,175.41,4866357,172.82,-0.0210717117933613,"up",35.16,39.28,32.33,32.61,35.28,1.06779661016949,"down",4441499,4344421,0.0199600742169736,"up",303592,298321,0.0178477600736975,"up"
2020-05-15,"mcdonald","hospitality",173.05,174.71,171.68,173.81,6878482,175.41,0.0149866913551672,"down",32.5,35.13,31.04,31.89,32.61,0.924319727891156,"down",4537879,4441499,0.0223454402784629,"up",308805,303592,0.0176688868701835,"up"
2020-05-18,"mcdonald","hospitality",180.06,181.15,178.11,179.83,4652627,173.81,-0.00912148680234875,"up",30.71,31.08,28.35,29.3,31.89,0.977920883164673,"down",4796476,4537879,0.0216998810536713,"up",319584,308805,0.0171710717014941,"up"
2020-05-19,"mcdonald","hospitality",180.12,181.46,178.07,179.57,3363955,179.83,0.0346355215465164,"down",28.73,30.74,28.37,30.53,29.3,0.918783317654437,"up",4892934,4796476,0.0569863145315245,"up",324375,319584,0.0349055229028027,"up"
2020-05-20,"mcdonald","hospitality",182,184.6,180.57,184.1,4919895,179.57,-0.00144580993160218,"up",29.52,29.83,27.83,27.99,30.53,1.0419795221843,"down",4995742,4892934,0.0201101808911376,"up",329236,324375,0.0149913637729048,"up"
2020-05-21,"mcdonald","hospitality",184.18,185.48,182.106,185.08,2927634,184.1,0.0252269310018377,"up",28.97,30.2,27.67,29.53,27.99,0.916803144448084,"up",5102278,4995742,0.0210115239649666,"up",334028,329236,0.0149857418111753,"up"
2020-05-22,"mcdonald","hospitality",184.48,185.35,183.18,184.41,2474575,185.08,0.00532319391634991,"down",31.36,31.55,28.03,28.16,29.53,1.05501964987496,"down",5209244,5102278,0.0213253606771527,"up",339314,334028,0.0145549089406991,"up"
2020-05-26,"mcdonald","hospitality",189.59,190.66,184.24,184.84,3990218,184.41,-0.00362005619191709,"up",27.72,28.58,27.18,28.01,28.16,0.953606501862513,"down",5583031,5209244,0.0209643614087668,"up",351520,339314,0.0158250206569509,"up"
2020-05-27,"mcdonald","hospitality",188.74,188.75,185.27,187.72,3992517,184.84,0.00233176075050164,"up",27.62,30.53,25.92,27.62,28.01,0.994673295454546,"down",5685633,5583031,0.0717545578590675,"up",356707,351520,0.0359725799701751,"up"
2020-05-28,"mcdonald","hospitality",189.42,190.48,186.72,188.73,3567328,187.72,0.0155810430642718,"up",27.82,29.89,27.43,28.59,27.62,0.986076401285255,"up",5803599,5685633,0.0183774727383745,"up",361392,356707,0.0147559171597633,"up"
2020-05-29,"mcdonald","hospitality",187.43,188.7,185.7101,186.32,5716933,188.73,0.00538035371830381,"down",29.3,30.16,27.29,27.51,28.59,1.03511947863867,"down",5924709,5803599,0.020748085569364,"up",366076,361392,0.0131340287687093,"up"
2020-06-01,"mcdonald","hospitality",186.71,187.84,185.6,187.41,2168153,186.32,-0.0127695649870185,"up",28.94,30.6,28.11,28.23,27.51,0.962224554039874,"up",6256493,5924709,0.0208680854759262,"up",376608,366076,0.0129609952627618,"up"
2020-06-02,"mcdonald","hospitality",188.4,188.56,186.085,187.59,3121268,187.41,0.00585015027908976,"up",28.4,28.52,26.66,26.84,28.23,1.02617230098146,"down",6369046,6256493,0.0560000499602597,"up",381307,376608,0.0287699821894907,"up"
2020-06-03,"mcdonald","hospitality",188.47,193.81,188.09,193.29,3880645,187.59,0.000960461021290256,"up",26.75,26.98,25.04,25.66,26.84,0.950761601133546,"down",6496381,6369046,0.0179897907661688,"up",387013,381307,0.0124771645849265,"up"
2020-06-04,"mcdonald","hospitality",192.32,194.26,191.62,193.24,3469097,193.29,0.0303854150007996,"down",26.23,26.43,24.38,25.81,25.66,0.956035767511177,"up",6623083,6496381,0.0199927901290083,"up",392161,387013,0.0149643200885376,"up"
2020-06-05,"mcdonald","hospitality",198,200.15,196.27,197.16,4726963,193.24,-0.000258678669356837,"up",24.79,25.09,23.54,24.52,25.81,1.00584567420109,"down",6755724,6623083,0.0195034743190093,"up",396983,392161,0.0133018787482591,"up"
2020-06-08,"mcdonald","hospitality",195.68,202.73,195.64,202.65,4442291,197.16,0.0202856551438625,"up",25.56,25.98,24.65,25.81,24.52,0.950019372336304,"up",7097409,6755724,0.0200270780239354,"up",407306,396983,0.0122959702775136,"up"
2020-06-09,"mcdonald","hospitality",200.37,201.57,199.01,199.52,3727547,202.65,0.0278454047474133,"down",25.93,27.7,25.71,27.57,25.81,1.0526101141925,"up",7220392,7097409,0.0505771106102025,"up",412161,407306,0.0260036323973571,"up"
2020-06-10,"mcdonald","hospitality",199.13,199.555,195.6699,195.8,3449002,199.52,-0.0154453491241056,"down",26.73,29.01,26.06,27.57,27.57,1.06819062378923,"neutral",7354172,7220392,0.0173278727490553,"up",417366,412161,0.0119197851246974,"up"
2020-06-11,"mcdonald","hospitality",190.9,192.91,186.33,187.51,5792914,195.8,-0.018644747393745,"down",30.45,42.58,29.49,40.79,27.57,1,"up",7492360,7354172,0.0185280799158827,"up",422150,417366,0.0126285601985632,"up"
2020-06-12,"mcdonald","hospitality",191.67,191.67,185.45,189.17,4107442,187.51,-0.0423391215526048,"up",37.68,44.16,34.97,36.09,40.79,1.47950671019224,"down",7621346,7492360,0.0187904226335745,"up",426445,422150,0.011462361572337,"up"
