"vix.change","day","open","high","low","close","previous","change.percent","volume","vix.previous","vix.change.percent","confirmed.total","confirmed.previous","confirmed.change.percent","deaths.total","deaths.previous","deaths.change.percent"
-0.41,76,308.1,317.05,307.24,315.01,310.13,0.0157353367942476,36486561,27.98,-0.0146533238027162,4176006,3939833,0.0599449265996807,287547,276252,0.0408865818166022
5.47,77,317.83,319.688,310.91,311.41,315.01,-0.0114282086282974,40575263,27.57,0.198404062386652,4259403,4176006,0.0199705172837395,293090,287547,0.0192768486543069
2.24,78,312.15,315.95,303.21,307.65,311.41,-0.012074114511416,50155639,33.04,0.0677966101694916,4344421,4259403,0.0199600742169736,298321,293090,0.0178477600736975
-2.67,79,304.51,309.79,301.53,309.54,307.65,0.00614334470989775,39732269,35.28,-0.0756802721088436,4441499,4344421,0.0223454402784629,303592,298321,0.0176688868701835
-0.719999999999999,80,300.35,307.9,300.21,307.71,309.54,-0.00591199844931201,41587094,32.61,-0.0220791168353266,4537879,4441499,0.0216998810536713,308805,303592,0.0171710717014941
-2.59,81,313.17,316.5,310.3241,314.96,307.71,0.023561145234149,33843125,31.89,-0.0812166823455629,4796476,4537879,0.0569863145315245,319584,308805,0.0349055229028027
1.23,82,315.03,318.52,313.01,313.14,314.96,-0.00577851155702309,25432385,29.3,0.0419795221843004,4892934,4796476,0.0201101808911376,324375,319584,0.0149913637729048
-2.54,83,316.68,319.52,316.2,319.23,313.14,0.0194481701475379,27876215,30.53,-0.0831968555519162,4995742,4892934,0.0210115239649666,329236,324375,0.0149857418111753
1.54,84,318.66,320.89,315.87,316.85,319.23,-0.0074554396516618,25672211,27.99,0.0550196498749554,5102278,4995742,0.0213253606771527,334028,329236,0.0145549089406991
-1.37,85,315.77,319.23,315.35,318.89,316.85,0.0064383777812844,20450754,29.53,-0.0463934981374873,5209244,5102278,0.0209643614087668,339314,334028,0.0158250206569509
-0.149999999999999,86,323.5,324.24,316.5,316.73,318.89,-0.00677349556273313,31380454,28.16,-0.00532670454545449,5583031,5209244,0.0717545578590675,351520,339314,0.0359725799701751
-0.390000000000001,87,316.14,318.71,313.09,318.11,316.73,0.00435702333217566,28236274,28.01,-0.0139235987147448,5685633,5583031,0.0183774727383745,356707,351520,0.0147559171597633
0.969999999999999,88,316.77,323.44,315.63,318.25,318.11,0.000440099336707385,33449103,27.62,0.0351194786386676,5803599,5685633,0.020748085569364,361392,356707,0.0131340287687093
-1.08,89,319.25,321.15,316.47,317.94,318.25,-0.000974076983503542,38399532,28.59,-0.0377754459601259,5924709,5803599,0.0208680854759262,366076,361392,0.0129609952627618
0.719999999999999,90,317.75,322.35,317.21,321.85,317.94,0.0122979178461346,20254653,27.51,0.0261723009814612,6256493,5924709,0.0560000499602597,376608,366076,0.0287699821894907
-1.39,91,320.745,323.44,318.93,323.34,321.85,0.00462948578530356,21910704,28.23,-0.0492383988664541,6369046,6256493,0.0179897907661688,381307,376608,0.0124771645849265
-1.18,92,324.66,326.2,322.3,325.12,323.34,0.0055050411331726,26122804,26.84,-0.0439642324888226,6496381,6369046,0.0199927901290083,387013,381307,0.0149643200885376
0.149999999999999,93,324.39,325.62,320.78,322.32,325.12,-0.00861220472440948,21890091,25.66,0.00584567420109114,6623083,6496381,0.0195034743190093,392161,387013,0.0133018787482591
-1.29,94,323.35,331.75,323.23,331.5,322.32,0.0284810126582279,34312550,25.81,-0.0499806276636962,6755724,6623083,0.0200270780239354,396983,392161,0.0122959702775136
1.29,95,330.25,333.6,327.32,333.46,331.5,0.00591251885369526,23913634,24.52,0.0526101141924959,7097409,6755724,0.0505771106102025,407306,396983,0.0260036323973571
1.76,96,332.14,345.61,332.01,343.99,333.46,0.0315780003598633,36928091,25.81,0.068190623789229,7220392,7097409,0.0173278727490553,412161,407306,0.0119197851246974
0,97,347.9,354.77,346.09,352.84,343.99,0.025727492078258,41662938,27.57,0,7354172,7220392,0.0185280799158827,417366,412161,0.0126285601985632
13.22,98,349.31,351.06,335.48,335.9,352.84,-0.0480104296565015,50415613,27.57,0.479506710192238,7492360,7354172,0.0187904226335745,422150,417366,0.011462361572337
-4.7,99,344.72,347.8,334.2233,338.8,335.9,0.00863352188151246,50036513,40.79,-0.115224319686197,7621346,7492360,0.0172156703628763,426445,422150,0.0101741087291247
-1.69,100,333.25,345.68,332.58,342.99,338.8,0.0123671782762692,34702230,36.09,-0.0468273760044335,8010360,7621346,0.0510426898345778,437545,426445,0.0260291479557739
-0.729999999999997,101,351.46,353.2,344.72,352.08,342.99,0.0265022303857255,41357182,34.4,-0.021220930232558,8149939,8010360,0.0174248098712168,444334,437545,0.0155161183421134
-0.200000000000003,102,355.15,355.4,351.09,351.59,352.08,-0.00139172915246537,28601626,33.67,-0.00594000594000602,8325831,8149939,0.0215820020248004,449605,444334,0.0118626978804233
-0.530000000000001,103,351.41,353.45,349.22,351.73,351.59,0.000398191074831603,24205096,33.47,-0.0158350761876307,8464706,8325831,0.0166800166854216,454614,449605,0.0111408903370737
2.18,104,354.635,356.56,345.15,349.72,351.73,-0.00571461063884227,66118952,32.94,0.066180935033394,8645640,8464706,0.0213751074166073,460883,454614,0.0137897205101471
-3.35,105,351.34,359.46,351.15,358.87,349.72,0.0261637881733958,33861316,35.12,-0.095387243735763,9072666,8645640,0.049392063514095,472779,460883,0.025811323047281
-0.399999999999999,106,364,372.38,362.2701,366.53,358.87,0.0213447766600718,53038869,31.77,-0.0125904941768964,9238013,9072666,0.018224742319402,478203,472779,0.0114725907876619
2.47,107,365,368.79,358.52,360.06,366.53,-0.017652033939923,48155849,31.37,0.0787376474338541,9405649,9238013,0.0181463264881745,483377,478203,0.0108196728167745
-1.62,108,360.7,365,357.57,364.84,360.06,0.0132755651835804,34380628,33.84,-0.047872340425532,9583608,9405649,0.0189204381324457,489928,483377,0.0135525686989658
2.51,109,364.41,365.32,353.02,353.63,364.84,-0.0307257976099111,51314211,32.22,0.0779019242706393,9774609,9583608,0.0199299679202238,494773,489928,0.00988920821018599
-2.95,110,353.25,362.1736,351.28,361.78,353.63,0.0230466872154511,32661519,34.73,-0.0849409732219982,10273510,9774609,0.0510405070934295,506076,494773,0.0228448197456207
-1.35,111,360.08,365.98,360,364.8,361.78,0.00834761457239217,35055821,31.78,-0.0424795468848333,10447879,10273510,0.0169726802232148,511268,506076,0.0102593286383863
-1.81,112,365.12,367.36,363.91,364.11,364.8,-0.00189144736842105,27690500,30.43,-0.0594807755504436,10664168,10447879,0.0207017137162481,516253,511268,0.00975026796122581
-0.940000000000001,113,367.85,370.47,363.64,364.11,364.11,0,28814500,28.62,-0.0328441649196367,10871926,10664168,0.0194818761294833,521361,516253,0.00989437349516613
0.260000000000002,114,370,375.78,369.87,373.85,364.11,0.0267501579193101,29745900,27.68,0.00939306358381508,11620096,10871926,0.0688166935646913,538058,521361,0.0320257940275548
1.49,115,375.41,378.62,372.23,372.69,373.85,-0.00310284873612418,27058500,27.94,0.0533285612025769,11829602,11620096,0.018029627293957,544163,538058,0.0113463604295448
