"","timestamp","company","category","open","high","low","close","volume","vix.open","vix.high","vix.low","vix.close"
"447",2020-03-27,"facebook","technology",158.2,160.09,154.75,156.79,24879869,64.95,69.1,61.8,65.54
"448",2020-03-30,"facebook","technology",159.18,166.75,158.06,165.95,22515225,66.3,67.69,56.6,57.08
"449",2020-03-31,"facebook","technology",165.48,170.93,164.2,166.8,23676283,56.69,58.75,50.88,53.54
"450",2020-04-01,"facebook","technology",161.615,164.15,158.035,159.6,19507559,57.38,60.59,52.76,57.06
"451",2020-04-02,"facebook","technology",159.1,161.3509,155.92,158.19,20886309,54.46,57.24,50.45,50.91
"452",2020-04-03,"facebook","technology",157.15,157.91,150.83,154.18,25983317,51.11,52.29,46.74,46.8
"453",2020-04-06,"facebook","technology",160.15,166.2,158.51,165.55,28453581,44.17,45.73,43.45,45.24
"454",2020-04-07,"facebook","technology",171.79,173.39,166.01,168.83,31411919,44.83,47.51,43.51,46.7
"455",2020-04-08,"facebook","technology",171.25,175,167.74,174.28,21664198,45.9,47.28,42.53,43.35
"456",2020-04-09,"facebook","technology",175.9,177.08,171.57,175.19,23534287,43,45.73,41.39,41.67
"457",2020-04-13,"facebook","technology",173.67,175,169.45,174.79,19355355,44.6,45.04,41.17,41.17
"458",2020-04-14,"facebook","technology",178.9765,181.225,176.62,178.17,21011815,40.24,40.57,37.31,37.76
"459",2020-04-15,"facebook","technology",175.1865,178.19,172.82,176.97,17423003,42.57,43.23,40.05,40.84
"460",2020-04-16,"facebook","technology",177.95,178.05,172.51,176.25,23593229,41.92,43.02,39.87,40.11
"461",2020-04-17,"facebook","technology",179.2,180.28,176.66,179.24,20974750,39.5,40.26,37.63,38.15
"462",2020-04-20,"facebook","technology",177.41,180.5,176.77,178.24,16110664,40.68,43.83,39.88,43.83
"463",2020-04-21,"facebook","technology",175.25,175.38,168.3408,170.8,24850528,44.28,47.77,43.77,45.41
"464",2020-04-22,"facebook","technology",178.45,184.78,178.14,182.28,33369931,44.91,45.07,41.41,41.98
"465",2020-04-23,"facebook","technology",184.08,187.05,183.15,185.13,21426604,41.3,42.47,39.06,41.38
"466",2020-04-24,"facebook","technology",183.23,190.41,180.825,190.07,28868528,38.8,40.17,35.6,35.93
"467",2020-04-27,"facebook","technology",192.99,193.75,187.41,187.5,29197750,36.29,36.44,32.51,33.29
"468",2020-04-28,"facebook","technology",188.66,189.2,182.56,182.91,21730986,33.21,35.39,30.54,33.57
"469",2020-04-29,"facebook","technology",190.93,196.91,190,194.19,45954521,32.48,33.19,30.71,31.23
"470",2020-04-30,"facebook","technology",206.92,209.69,201.5701,204.71,46230116,30.99,35.94,30.93,34.15
"471",2020-05-01,"facebook","technology",201.6,207.28,199.0501,202.27,30415581,38.17,39.57,36.59,37.19
"472",2020-05-04,"facebook","technology",200.2,205.91,198.7562,205.26,19250673,39.13,40.32,35.53,35.97
"473",2020-05-05,"facebook","technology",207.02,210.38,206.5,207.07,21071223,34.82,36.22,31.95,33.61
"474",2020-05-06,"facebook","technology",208.12,211.6,206.66,208.47,21856963,32.69,35.69,31.68,34.12
"475",2020-05-07,"facebook","technology",211.16,211.6,209.04,211.26,15151976,32.12,32.28,30.37,31.44
"476",2020-05-08,"facebook","technology",212.24,213.21,210.85,212.35,12524048,30.14,30.39,27.89,27.98
"477",2020-05-11,"facebook","technology",210.8865,215,210.37,213.18,12911948,28.46,31.46,26.97,27.57
"478",2020-05-12,"facebook","technology",213.29,215.275,210,210.1,14704647,28.47,33.04,26,33.04
"479",2020-05-13,"facebook","technology",209.43,210.78,202.11,205.1,20684559,32.74,37.42,30.77,35.28
"480",2020-05-14,"facebook","technology",202.56,206.93,200.69,206.81,17178947,35.16,39.28,32.33,32.61
"481",2020-05-15,"facebook","technology",205.27,211.34,204.12,210.88,19383154,32.5,35.13,31.04,31.89
"482",2020-05-18,"facebook","technology",212.15,214.6445,210.94,213.19,20167443,30.71,31.08,28.35,29.3
"483",2020-05-19,"facebook","technology",213.27,220.49,212.83,216.88,31843152,28.73,30.74,28.37,30.53
"484",2020-05-20,"facebook","technology",223.5,231.34,223.19,229.97,50162875,29.52,29.83,27.83,27.99
"485",2020-05-21,"facebook","technology",234.72,237.2,231.2,231.39,47577915,28.97,30.2,27.67,29.53
"486",2020-05-22,"facebook","technology",231.51,235.99,228.74,234.91,33925564,31.36,31.55,28.03,28.16
"487",2020-05-26,"facebook","technology",239.77,240.9,231.67,232.2,33178318,27.72,28.58,27.18,28.01
"488",2020-05-27,"facebook","technology",229.07,230.56,221.1347,229.14,34697553,27.62,30.53,25.92,27.62
"489",2020-05-28,"facebook","technology",224.3,231.6332,224,225.46,29423013,27.82,29.89,27.43,28.59
"490",2020-05-29,"facebook","technology",225.2,227.49,222.88,225.09,23322476,29.3,30.16,27.29,27.51
"491",2020-06-01,"facebook","technology",224.59,232.44,223.5,231.91,18223839,28.94,30.6,28.11,28.23
